"Geo_FIPS","Edu_2019","Unemp_2019","Income_2019","Built_2019","Rent_2019"
55059000500,14.59,4.72,58750,47,846
55059000602,7.05,5.3,71490,28,892
55059002100,13.53,5.68,40946,45,927
55059001100,32.16,11.31,25548,0,799
55059002601,5.81,6.02,106389,21,1257
55059000400,7.51,3.1,61691,65,781
55059000800,24.64,6.93,43125,69,927
55059001500,8.93,5.44,57300,0,1032
55059002500,5.85,6.23,95386,36,1083
55059001200,20.51,15.68,39646,79,966
55059000100,8.39,5.94,52759,42,876
55059000700,16.58,7.78,53283,48,926
55059001400,6.91,5.39,60357,49,979
55059001900,10.6,7.05,78702,76,876
55059002400,8.73,8.88,57356,44,814
55059000900,12.46,8.73,35294,0,843
55059002800,7.65,4.99,79646,51,796
55059003001,5.5,6.53,88324,44,1247
55059002300,7.2,4.43,71540,48,785
55059000300,11.19,8.57,38826,80,963
55059000601,13.54,5.35,79783,35,1071
55059001300,13.3,7.01,46019,54,962
55059001700,5.58,4.06,54743,0,1120
55059001800,11.86,13.5,39583,0,722
55059002903,10.05,5.3,65216,46,758
55059002905,9.97,3.82,77633,45,1118
55059002906,5.75,3.33,87480,29,1006
55059003002,8.87,7.61,68068,44,854
55059001000,12.73,9.63,35625,32,711
55059002200,6.63,5.72,60305,70,1198
55059002700,3.46,4.58,88488,32,1058
55059002000,5.76,5.14,96471,34,733
55059002602,7.99,4.67,84613,26,1123
55059002904,10.09,7.57,62500,46,1179
55059001600,20.16,8.26,43430,0,895
18089010500,13.3,11.08,23438,0,625
18089011700,19.5,13.61,20625,0,603
18089020100,11.27,7.47,51356,0,806
18089021700,18.26,7.08,51859,69,938
18089040402,2.45,1.75,119063,25,2098
18089040502,5.45,4.97,70417,30,1033
18089041302,16.52,11.15,43000,65,1151
18089042505,9.71,8.95,60877,21,1201
18089043201,6.54,7.38,57018,60,912
18111100600,17.83,5.24,46027,78,637
18127050405,0.31,1.93,118750,63,1568
18127050503,10.23,6.24,54342,53,957
18127050800,7.28,3.72,64523,58,964
18089012500,11.04,21.36,43517,67,988
18089020500,24.95,10.85,48125,79,832
18089021300,9.71,9.41,50496,64,1029
18089021900,17.84,4.65,50757,62,1242
18089030600,25.45,8.52,35056,72,768
18089040200,16.85,5.36,45921,0,807
18089040501,6.33,6.05,64375,43,1201
18089041001,8.65,5.5,48889,49,889
18089042401,5.07,9.24,60060,52,881
18089042501,10.79,3.3,68396,47,1140
18089042802,5.16,2.39,94974,40,1351
18089010100,5.5,11.12,54471,62,762
18089010400,15.63,10.78,28767,75,873
18127051008,7.32,2.85,74762,42,0
18089011300,19.07,16.67,16354,67,525
18127050407,7.77,10.04,51964,47,845
18127050508,12.07,4.18,39470,42,900
18089012000,11.81,7.72,23571,77,903
18089012700,9.96,12.39,37281,60,930
18089041500,20.99,15.56,22072,57,859
18111100700,12.83,3.36,51434,64,700
18127050509,14.2,3.07,49107,29,1020
18073100400,23.84,6.65,65132,33,827
18089011200,8.38,12.09,34457,57,816
18089022000,14.42,8.47,51500,57,887
18073101000,12.01,2.88,81016,26,979
18089031000,30.75,15.72,21760,66,615
18089012600,17.96,21.36,32170,67,981
18089020800,18.87,9.05,30593,69,756
18089030100,11.02,23.33,9645,48,304
18089042403,14.73,9.04,54100,55,976
18089042704,8.75,3.74,67232,44,964
18089011600,17.16,8,35278,63,801
18127050402,8.33,3.12,78803,43,1039
18127050602,2.35,3.6,75494,40,928
18089010201,9.45,8.46,36444,50,768
18089030800,24.02,5.69,40250,0,808
18073100901,8.66,6.22,65648,25,883
18111100500,19.3,5.95,49615,54,687
18073100902,7.6,4.56,64198,29,833
18073101200,11.42,2.74,69920,50,684
18073101300,10.73,5.75,52750,61,715
18089012400,14.35,13.02,31918,70,739
18089020600,23.2,22.32,11893,55,281
18089020900,7.8,3.69,55208,65,914
18089021500,11.73,9.09,64764,0,981
18089030200,28.93,8.35,26944,74,368
18089030500,30.63,13.69,32147,0,733
18089040300,2.35,1.38,69421,51,1083
18089040900,2.27,5.41,77262,61,976
18089041002,5.16,2.3,75417,57,957
18089043101,17.66,0.89,55348,40,880
18089043102,4.97,4.28,90453,51,1063
18089043300,5.32,4.64,96380,26,1456
18127050506,11.26,7.22,64628,42,963
18127050603,2.21,3.82,110319,24,910
18127051102,5.03,3.45,73789,45,996
18127980002,0,0,0,0,0
18089010302,14.11,11.05,27101,49,777
18089010900,20.41,4.55,24688,77,937
18089011900,26.61,19.16,15078,69,0
18089012200,18.74,11.79,21019,65,563
18089043403,6.86,8.29,69481,41,1021
18089043404,10.69,10.78,70402,36,754
18089041800,17.42,11.15,55942,60,943
18089042000,9.41,2.97,62904,45,942
18089042402,9.21,2.88,59840,55,1065
18089042606,6.95,2.39,52452,40,944
18089042608,1.9,4.73,98080,29,1396
18089042901,2.82,8.8,80926,42,999
18089043001,3.91,3.03,78380,42,1132
18111100400,10.63,11.78,64597,42,918
18089020200,18.24,4.22,53300,78,866
18089020300,23.3,6.86,45712,71,830
18089012300,20.17,12.97,32267,71,861
18089012800,22.27,17.7,15682,0,719
18089042605,4.2,5.14,107723,19,795
18089042609,5.63,4.95,96969,27,1500
18089011800,9.88,11.73,34779,67,1004
18089012100,36.88,7.62,21875,77,682
18089040401,6.32,4.42,80916,61,1125
18089040403,8.71,8.42,94360,49,1159
18089040600,7.4,3.08,59013,64,1060
18089040802,7.05,3.93,66354,54,876
18089041100,27.23,12.15,32426,66,931
18089021600,16.55,5.73,57188,78,1011
18089030300,22.71,17.15,25357,74,811
18089030400,37.42,4.22,30918,0,622
18089030700,31.55,6.64,40037,75,657
18089020700,24.03,8.37,33220,0,808
18089021000,17.38,7.5,50806,71,1077
18089021400,21.2,9.45,42665,78,937
18089030900,24.67,6.31,49130,75,691
18073100800,14.98,3.78,63171,44,820
18089042100,17.96,10.58,42297,51,950
18089042200,6.77,6.56,69828,59,1155
18089042504,13.47,6.16,71034,36,1082
18089042602,6.71,5.42,76976,26,895
18089011000,11.14,7.83,39600,67,936
18089011100,15.21,13.73,29591,56,796
18089011500,7.9,1.29,40301,61,964
18127050101,5.03,4.46,87500,32,761
18127050202,7.42,5.01,63480,43,891
18127050203,5.07,8.7,86277,42,1023
18127050501,5.86,3.36,59851,54,868
18127050505,8.06,5.95,64639,43,1282
18127050507,8.22,4.85,52273,26,973
18127050604,3.61,3.93,94130,28,1305
18127050702,5.19,7.49,45471,40,944
18127050704,4.01,0,85859,42,932
18127051002,4.16,3.22,86974,27,958
18127051101,6.35,1.28,69711,36,778
18127980001,0,0,0,0,0
18127050900,6.61,8.52,28516,75,767
18089010304,18.62,8.95,33438,65,810
18089010600,18.54,4.44,28750,75,711
18089041200,27.01,27.06,34036,54,825
18089041700,16.08,8.86,44746,64,970
18089041900,11.79,6.22,68199,62,795
18089010205,10.98,8.37,20058,0,473
18089042607,4.98,3.66,90268,33,984
18089010203,14.77,4.74,32587,68,742
18089011400,21.82,18.27,18851,61,769
18089021100,10.66,5.67,53168,66,1019
18089040700,5.52,3.7,68155,63,950
18089042503,8.9,5.81,49375,30,371
18089042801,4.77,6.81,79189,29,988
18089043002,5.81,5.89,52685,58,1001
18127050103,6.18,2.64,85334,37,705
18127051007,5.1,2.65,95765,34,944
18089043405,9.06,3.62,77625,44,798
18127051005,2.55,2.39,116719,30,0
18089020400,28.49,7.44,44668,80,949
18089042300,8,9.78,65878,31,962
18089042703,3.76,1.18,83839,26,1178
18089042902,5.2,3.31,88277,20,927
18089043401,4.77,3.79,80993,39,1177
18073101100,15.27,1.11,49500,50,789
18127051006,10.92,4.77,66875,43,993
18089041400,10.67,12.09,45313,61,782
18127050703,4.38,4.76,72500,54,1422
18089040100,22.21,10.91,47688,0,933
18089040801,6.67,7.67,74375,60,1053
18089041600,22.59,13.28,38709,62,932
18089042702,6.91,5.3,60600,41,1026
18089021800,18.7,9.43,35682,64,956
18089043202,5.18,1.26,99091,20,1051
18127050300,6.25,4.32,83552,28,1207
17031843800,12.28,26.37,36042,0,963
17037001002,10.77,13.61,22121,38,942
17031243000,7.05,5.04,85362,78,1435
17031250600,13.87,9.99,46184,0,1134
17031251700,13.9,5.12,52857,0,1221
17031260400,31.18,24.28,18750,0,911
17031260500,37.55,17.99,33026,0,1141
17031271500,10.53,8.88,37109,61,1084
17031291200,21.12,17.82,22153,76,1027
17031301100,42.16,8.27,31207,0,763
17031351100,15.93,41.93,11523,48,501
17031380200,10.78,4.82,27724,43,688
